LAT,LON,YEAR,DOY,TS,RH2M,GWETROOT,PRECTOTCORR,T2M_MIN,T2M_RANGE
4.75,-8.25,2024,61,27.36,84.73,0.52,5.06,25.66,2.36
4.75,-7.75,2024,61,27.21,83.88,0.51,4.17,25.28,3.61
4.75,-7.25,2024,61,27.21,84.68,0.53,5.12,25.3,3.82
4.75,-6.75,2024,61,27.26,86.74,0.58,8.1,25.74,2.73
4.75,-6.25,2024,61,27.85,86.09,0.52,6.88,26.59,1.67
4.75,-5.75,2024,61,27.91,87.39,0.54,4.5,26.83,1.47
4.75,-5.25,2024,61,28.09,87.74,-999,5.1,27.14,1.24
4.75,-4.75,2024,61,28.3,87.16,-999,7.07,27.43,1.05
4.75,-4.25,2024,61,28.47,86.02,-999,9.07,27.66,0.92
4.75,-3.75,2024,61,28.58,85,-999,10.03,27.78,0.88
4.75,-3.25,2024,61,28.4,86.08,-999,8.32,27.29,1.27
4.75,-2.75,2024,61,28.11,86.32,-999,8.65,26.86,1.67
5.25,-8.25,2024,61,26.05,87.31,0.54,6.56,24.27,3.53
5.25,-7.75,2024,61,25.75,88.75,0.54,6.96,23.85,4.01
5.25,-7.25,2024,61,25.76,89.65,0.57,9.64,23.84,4.21
5.25,-6.75,2024,61,25.89,90.13,0.6,13.93,24.19,3.86
5.25,-6.25,2024,61,26.44,88.91,0.58,11.61,24.94,3.33
5.25,-5.75,2024,61,26.78,88.91,0.57,7.9,25.39,2.84
5.25,-5.25,2024,61,27.23,88.34,0.53,7.52,25.94,2.43
5.25,-4.75,2024,61,27.65,87.38,0.47,9.03,26.4,2.22
5.25,-4.25,2024,61,27.92,86.44,0.41,11.31,26.67,2.21
5.25,-3.75,2024,61,27.97,86.22,0.42,13.5,26.73,2.31
5.25,-3.25,2024,61,27.77,87.29,0.5,10.81,26.45,2.38
5.25,-2.75,2024,61,27.27,87.79,0.51,10.85,25.87,2.98
5.75,-8.25,2024,61,25.83,86.86,0.52,4.77,23.67,5.04
5.75,-7.75,2024,61,25.39,89.74,0.54,6.22,23.43,4.57
5.75,-7.25,2024,61,25.35,91.13,0.56,9.4,23.46,4.29
5.75,-6.75,2024,61,25.46,91.38,0.59,13.1,23.65,4.12
5.75,-6.25,2024,61,25.79,89.88,0.59,11.31,23.98,4.18
5.75,-5.75,2024,61,26.24,88.5,0.56,8.9,24.32,4.12
5.75,-5.25,2024,61,26.78,87.31,0.53,8.59,24.85,4.02
5.75,-4.75,2024,61,27.31,85.95,0.49,9.9,25.32,4.1
5.75,-4.25,2024,61,27.64,84.92,0.46,12.29,25.57,4.32
