LAT,LON,YEAR,DOY,PRECTOTCORR,TS,RH2M,GWETROOT
5.25,-7.25,2023,274,8.24,26.13,90.62,0.85
5.25,-6.75,2023,274,7.76,26.14,90.37,0.81
5.25,-6.25,2023,274,6.57,26.38,89.59,0.75
5.25,-5.75,2023,274,6.41,26.26,89.52,0.71
5.25,-5.25,2023,274,5.68,26.4,89.42,0.66
5.25,-4.75,2023,274,5.03,26.49,89.61,0.62
5.25,-4.25,2023,274,6.25,26.41,90.06,0.59
5.25,-3.75,2023,274,12.24,26.28,90.41,0.64
5.75,-7.25,2023,274,6.26,26.37,89.74,0.75
5.75,-6.75,2023,274,6.32,26.37,89.88,0.74
5.75,-6.25,2023,274,5.96,26.37,89.91,0.71
5.75,-5.75,2023,274,6.07,26.35,89.63,0.68
5.75,-5.25,2023,274,5.58,26.54,89.47,0.67
5.75,-4.75,2023,274,5.28,26.57,89.71,0.66
5.75,-4.25,2023,274,7.35,26.34,90.49,0.66
5.75,-3.75,2023,274,15.29,25.91,91.84,0.69
6.25,-7.25,2023,274,4.51,26.55,88.34,0.7
6.25,-6.75,2023,274,4.97,26.57,89.24,0.72
6.25,-6.25,2023,274,5.3,26.26,89.84,0.71
6.25,-5.75,2023,274,5.29,26.45,88.97,0.67
6.25,-5.25,2023,274,4.86,26.72,88.54,0.67
6.25,-4.75,2023,274,4.69,26.8,88.56,0.69
6.25,-4.25,2023,274,6.34,26.56,89.21,0.7
6.25,-3.75,2023,274,12.35,26.03,90.91,0.73
6.75,-7.25,2023,274,3.36,26.39,87.31,0.69
6.75,-6.75,2023,274,3.76,26.39,89.01,0.67
6.75,-6.25,2023,274,4.27,26.21,89.06,0.66
6.75,-5.75,2023,274,4,26.62,87.24,0.63
6.75,-5.25,2023,274,3.69,26.87,86.89,0.65
6.75,-4.75,2023,274,3.58,26.91,87.04,0.68
6.75,-4.25,2023,274,4.23,26.72,87.54,0.72
6.75,-3.75,2023,274,6.48,26.29,89.06,0.75
7.25,-7.25,2023,274,3.55,25.87,86.33,0.75
7.25,-6.75,2023,274,2.88,26.32,86.81,0.67
7.25,-6.25,2023,274,2.8,26.45,86.56,0.62
7.25,-5.75,2023,274,2.58,26.85,84.74,0.58
7.25,-5.25,2023,274,2.5,26.91,85.01,0.62
7.25,-4.75,2023,274,2.6,26.87,85.84,0.7
7.25,-4.25,2023,274,2.86,26.77,86.71,0.78
7.25,-3.75,2023,274,3.26,26.47,88.19,0.82
7.75,-7.25,2023,274,3.3,25.55,85.31,0.77
7.75,-6.75,2023,274,2.34,26.37,84.28,0.68
7.75,-6.25,2023,274,1.73,26.73,83.5,0.61
7.75,-5.75,2023,274,1.63,27.19,81.85,0.55
7.75,-5.25,2023,274,1.73,27.01,83.35,0.62
7.75,-4.75,2023,274,2.03,26.85,85.11,0.74
7.75,-4.25,2023,274,2.46,26.87,86.14,0.85
7.75,-3.75,2023,274,2.93,26.76,87.34,0.91
8.25,-7.25,2023,274,2.13,26.06,82.57,0.67
8.25,-6.75,2023,274,1.68,26.88,80.75,0.61
8.25,-6.25,2023,274,1.15,27.51,78.12,0.54
8.25,-5.75,2023,274,1.01,27.67,78.28,0.53
8.25,-5.25,2023,274,1.1,27.17,81.37,0.61
8.25,-4.75,2023,274,1.4,26.9,83.63,0.71
8.25,-4.25,2023,274,1.88,27.02,84.17,0.8
8.25,-3.75,2023,274,2.52,27,84.97,0.89
5.25,-7.25,2023,275,11.13,25.44,91.33,0.85
5.25,-6.75,2023,275,15.19,25.74,89.94,0.82
5.25,-6.25,2023,275,17.65,26.06,88.59,0.76
5.25,-5.75,2023,275,11.47,25.99,88.07,0.71
5.25,-5.25,2023,275,5.68,26.26,87.22,0.67
5.25,-4.75,2023,275,2.17,26.53,86.28,0.62
5.25,-4.25,2023,275,1.14,26.64,85.62,0.59
5.25,-3.75,2023,275,1.1,26.58,85.84,0.63
5.75,-7.25,2023,275,11.4,25.69,91.21,0.75
5.75,-6.75,2023,275,15.54,25.9,90.05,0.75
5.75,-6.25,2023,275,18.21,25.92,89.62,0.73
5.75,-5.75,2023,275,13,25.93,89.22,0.69
5.75,-5.25,2023,275,7.16,26.19,88.56,0.67
5.75,-4.75,2023,275,3.17,26.44,87.71,0.66
5.75,-4.25,2023,275,1.7,26.47,87.2,0.66
5.75,-3.75,2023,275,1.59,26.2,88,0.69
6.25,-7.25,2023,275,9.5,26.13,90.17,0.7
6.25,-6.75,2023,275,12.04,26.25,89.39,0.72
6.25,-6.25,2023,275,13.61,25.87,89.94,0.72
6.25,-5.75,2023,275,11.15,26.12,89.11,0.68
6.25,-5.25,2023,275,7.3,26.38,88.51,0.68
6.25,-4.75,2023,275,4.12,26.54,87.81,0.68
6.25,-4.25,2023,275,2.53,26.46,87.45,0.7
6.25,-3.75,2023,275,2.28,26.05,88.62,0.73
6.75,-7.25,2023,275,6.82,26.27,89.03,0.69
6.75,-6.75,2023,275,7.95,26.34,88.69,0.67
6.75,-6.25,2023,275,8.55,26.15,89.22,0.67
6.75,-5.75,2023,275,8.11,26.61,87.99,0.64
6.75,-5.25,2023,275,6.44,26.74,87.76,0.65
6.75,-4.75,2023,275,4.61,26.69,87.58,0.68
6.75,-4.25,2023,275,3.3,26.47,87.54,0.71
6.75,-3.75,2023,275,2.91,26,88.84,0.75
7.25,-7.25,2023,275,6.38,25.95,88.09,0.75
7.25,-6.75,2023,275,6.3,26.43,86.83,0.67
7.25,-6.25,2023,275,5.89,26.71,86.28,0.62
7.25,-5.75,2023,275,5.76,27.14,85.76,0.58
7.25,-5.25,2023,275,5.2,27.07,86.56,0.61
7.25,-4.75,2023,275,4.45,26.85,87.45,0.69
7.25,-4.25,2023,275,3.75,26.57,88.22,0.77
7.25,-3.75,2023,275,3.33,26.03,89.75,0.82
7.75,-7.25,2023,275,7.64,25.64,86.53,0.77
7.75,-6.75,2023,275,6.68,26.49,84.64,0.68
7.75,-6.25,2023,275,4.85,26.96,83.09,0.61
7.75,-5.75,2023,275,4.41,27.45,82.84,0.55
7.75,-5.25,2023,275,4.31,27.3,84.62,0.61
7.75,-4.75,2023,275,4.25,27.1,86.46,0.73
7.75,-4.25,2023,275,4.05,26.96,87.79,0.85
7.75,-3.75,2023,275,3.61,26.52,89.44,0.9
8.25,-7.25,2023,275,5.96,26.05,83.51,0.66
8.25,-6.75,2023,275,4.94,26.85,81.68,0.61
8.25,-6.25,2023,275,3.56,27.37,79.88,0.54
8.25,-5.75,2023,275,3.42,27.56,80.9,0.53
8.25,-5.25,2023,275,3.72,27.18,83.69,0.61
8.25,-4.75,2023,275,4.08,26.99,85.8,0.71
8.25,-4.25,2023,275,4.19,27.08,86.74,0.8
8.25,-3.75,2023,275,3.89,26.91,87.94,0.88
5.25,-7.25,2023,276,8.44,24.57,91.87,0.85
5.25,-6.75,2023,276,5.38,24.82,90.39,0.82
5.25,-6.25,2023,276,3.84,25.3,88.44,0.76
5.25,-5.75,2023,276,2.78,25.59,87.36,0.71
5.25,-5.25,2023,276,1.96,26.05,86.36,0.67
5.25,-4.75,2023,276,1.51,26.41,85.68,0.61
5.25,-4.25,2023,276,1.4,26.55,85.62,0.57
5.25,-3.75,2023,276,1.44,26.51,86.59,0.62
5.75,-7.25,2023,276,8.14,24.47,92.91,0.76
5.75,-6.75,2023,276,5.73,24.63,91.69,0.75
5.75,-6.25,2023,276,5.16,24.79,90.56,0.74
5.75,-5.75,2023,276,4.17,25.1,89.66,0.69
5.75,-5.25,2023,276,3.06,25.61,88.52,0.67
5.75,-4.75,2023,276,2.36,26.06,87.42,0.66
5.75,-4.25,2023,276,2.18,26.27,86.98,0.65
5.75,-3.75,2023,276,2.15,26.11,88.16,0.68
6.25,-7.25,2023,276,7.04,24.65,92.52,0.71
6.25,-6.75,2023,276,5.46,24.83,91.37,0.73
6.25,-6.25,2023,276,5.82,24.66,91.09,0.72
6.25,-5.75,2023,276,5.23,25.04,90.19,0.69
6.25,-5.25,2023,276,4.12,25.55,89.18,0.68
6.25,-4.75,2023,276,3.37,26,87.96,0.68
6.25,-4.25,2023,276,3.17,26.21,87.17,0.69
6.25,-3.75,2023,276,3.05,26.04,88.22,0.71
6.75,-7.25,2023,276,7.24,24.98,91.54,0.69
6.75,-6.75,2023,276,5.45,25.1,91.02,0.68
6.75,-6.25,2023,276,5.63,25,90.72,0.67
6.75,-5.75,2023,276,5.63,25.41,89.59,0.64
6.75,-5.25,2023,276,5.09,25.73,88.94,0.65
6.75,-4.75,2023,276,4.71,26,88.16,0.68
6.75,-4.25,2023,276,4.68,26.16,87.49,0.71
6.75,-3.75,2023,276,4.6,26.15,87.97,0.75
7.25,-7.25,2023,276,9.89,25.29,90.64,0.75
7.25,-6.75,2023,276,7.13,25.51,90.38,0.67
7.25,-6.25,2023,276,6.32,25.53,89.75,0.62
